NU_INSCRICAO,tipo_faixa_etaria,tipo_sexo,tipo_estado_civil,tipo_cor_raca,tipo_nacionalidade,tipo_conclusao,ano_de_concusao,tipo_escola,tipo_treineiro,municipio_prova,uf_prova,q01_escolaridade_pai,q02_escolaridade_mae,q03_ocupacao_pai,q04_ocupacao_mae,q05_pessoas_residencia,q06_renda_familiar,q07_empregado_domestico,q08_tem_banheiro,q09_qtd_quartos,q10_tem_carro,q11_tem_motocicleta,q12_tem_geladeira,q13_tem_freezer,q14_tem_maquina_lavar_roupa,q15_tem_maquina_secar_roupa,q17_tem_maquina_lavar_louca,q16_tem_microondas,q18_tem_aspirador_po,q19_tem_tv_cores,q20_tem_dvd,q21_tem_tv_assinatura,q23_tem_telefone_fixo,q22_tem_celular,q24_tem_computador,q25_tem_internet,lingua_estrangeira,status_redacao,nota_cn,nota_ch,nota_lc,nota_mt,nota_red_comp1,nota_red_comp2,nota_red_comp3,nota_red_comp4,nota_red_comp5,nota_redacao
210061103945,6,Feminino,1,Branca,Brasileiro(a),4,0,Não Respondeu,Não é treineiro,Caxias do Sul,RS,H,E,C,F,5,C,A,B,D,B,A,B,A,B,A,A,B,A,B,A,A,A,A,A,B,Espanhol,Sem problemas,502.0,498.9,475.6,363.2,140.0,200.0,100.0,120.0,140.0,700.0
210060214087,2,Feminino,1,Parda,Brasileiro(a),2,0,Pública,Não é treineiro,Fortaleza,CE,D,D,B,B,5,C,A,B,B,A,A,B,A,A,A,A,A,A,B,A,A,A,D,A,B,Inglês,Sem problemas,459.0,508.5,507.2,466.7,140.0,200.0,160.0,180.0,200.0,880.0
210059980948,3,Feminino,1,Parda,Brasileiro(a),2,0,Pública,Não é treineiro,Quixadá,CE,B,B,A,A,4,B,A,B,A,A,A,B,A,A,A,A,A,A,B,A,A,A,B,A,A,Inglês,Sem problemas,402.5,379.2,446.9,338.3,120.0,120.0,120.0,120.0,80.0,560.0
210060801601,11,Masculino,1,Branca,Brasileiro(a),4,8,Não Respondeu,Não é treineiro,Batatais,SP,H,E,F,D,2,F,A,B,C,B,B,B,B,B,A,A,B,B,C,B,A,A,C,B,B,Inglês,Sem problemas,564.7,630.3,610.4,680.2,120.0,120.0,120.0,120.0,120.0,600.0
210059085130,8,Masculino,1,Parda,Brasileiro(a),4,5,Não Respondeu,Não é treineiro,Natal,RN,F,C,D,B,4,B,A,C,C,A,A,B,A,B,A,A,B,B,B,A,A,A,E,B,B,Inglês,Sem problemas,644.9,620.2,626.9,736.3,140.0,200.0,160.0,160.0,200.0,860.0
210060801595,3,Masculino,1,Parda,"Brasileiro(a) Nato(a), nascido(a) no exterior",2,0,Pública,Não é treineiro,Ubiratã,PR,D,E,A,B,5,D,A,B,B,B,A,B,A,B,A,A,A,A,B,A,A,A,B,B,B,Inglês,Sem problemas,608.2,667.6,607.9,691.9,140.0,180.0,120.0,160.0,180.0,780.0
210060214081,3,Feminino,1,Branca,Brasileiro(a),4,1,Não Respondeu,Não é treineiro,São Paulo,SP,E,E,B,B,3,C,A,B,C,B,A,B,B,B,A,A,B,A,B,A,A,A,C,B,B,Inglês,Sem problemas,626.5,604.9,614.3,548.8,140.0,200.0,160.0,180.0,120.0,800.0
210059388087,11,Feminino,1,Preta,Brasileiro(a),4,7,Não Respondeu,Não é treineiro,Recife,PE,H,A,F,A,3,B,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,A,C,A,B,Espanhol,Sem problemas,547.2,623.3,593.7,404.6,120.0,120.0,100.0,100.0,120.0,560.0
210059980942,7,Feminino,1,Parda,Brasileiro(a),4,4,Não Respondeu,Não é treineiro,Caraúbas,RN,B,B,A,A,5,A,A,B,C,B,B,B,A,A,A,A,A,A,B,A,A,A,D,B,B,Espanhol,Sem problemas,510.8,313.4,388.5,415.6,120.0,120.0,100.0,120.0,100.0,560.0
210058061534,4,Feminino,1,Branca,Brasileiro(a),2,0,Pública,Não é treineiro,Belém,PA,E,E,C,B,4,B,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,B,D,A,B,Inglês,Sem problemas,515.7,553.1,544.4,437.0,160.0,180.0,160.0,180.0,200.0,880.0
210059855117,11,Feminino,1,Branca,Brasileiro(a),4,10,Não Respondeu,Não é treineiro,Raposa,MA,B,B,B,A,3,B,A,B,B,A,A,B,A,A,A,A,B,A,B,A,A,A,B,A,A,Espanhol,Sem problemas,435.3,515.0,452.8,448.2,120.0,120.0,120.0,120.0,0.0,480.0
210058387328,11,Masculino,1,Branca,Brasileiro(a),4,8,Não Respondeu,Não é treineiro,Londrina,PR,G,B,D,B,2,D,A,B,C,A,A,B,B,B,A,A,B,A,B,A,A,A,C,C,B,Inglês,Sem problemas,571.3,574.7,613.3,719.7,120.0,120.0,120.0,120.0,80.0,560.0
210060801596,12,Feminino,1,Preta,Brasileiro(a),4,14,Não Respondeu,Não é treineiro,Recife,PE,E,C,C,B,3,B,A,B,C,A,A,B,A,A,A,A,B,A,B,A,A,A,C,A,B,Espanhol,Sem problemas,403.4,632.2,576.0,496.0,100.0,160.0,120.0,120.0,40.0,540.0
210061103941,9,Feminino,1,Branca,Brasileiro(a),4,6,Não Respondeu,Não é treineiro,Alfenas,MG,D,G,B,E,4,G,A,B,D,B,A,B,B,B,A,A,B,B,B,A,A,A,D,C,B,Inglês,Sem problemas,707.0,667.6,628.1,816.8,160.0,180.0,160.0,160.0,160.0,820.0
210059388088,3,Feminino,1,Branca,Brasileiro(a),4,1,Não Respondeu,Não é treineiro,Maringá,PR,E,D,B,B,6,E,A,B,D,D,C,B,A,B,A,A,B,B,C,B,A,A,E,B,B,Inglês,Sem problemas,540.5,632.5,542.8,575.3,160.0,200.0,160.0,180.0,180.0,880.0
210059980943,8,Feminino,0,Parda,Brasileiro(a),4,5,Não Respondeu,Não é treineiro,Santa Inês,MA,C,D,C,A,4,B,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,A,C,A,B,Espanhol,Sem problemas,494.2,442.8,552.4,382.1,120.0,140.0,120.0,120.0,120.0,620.0
210058061535,4,Feminino,1,Parda,Brasileiro(a),4,1,Não Respondeu,Não é treineiro,Brasília,DF,F,G,D,D,4,D,A,B,C,B,A,B,B,B,A,A,B,A,B,A,A,B,B,B,B,Espanhol,Sem problemas,424.9,529.4,512.8,398.6,120.0,120.0,100.0,120.0,80.0,540.0
210058387329,5,Feminino,1,Parda,Brasileiro(a),4,3,Não Respondeu,Não é treineiro,Santa Luzia,MG,B,E,D,D,5,D,A,D,D,C,A,B,B,B,A,A,B,B,D,A,B,B,E,B,B,Inglês,Sem problemas,457.9,532.4,520.3,592.4,160.0,200.0,160.0,200.0,200.0,920.0
210059085132,13,Feminino,0,Parda,Brasileiro(a),4,9,Não Respondeu,Não é treineiro,Timon,MA,B,C,B,B,3,B,A,B,B,A,A,B,A,A,A,A,A,A,A,A,A,A,C,A,B,Inglês,Sem problemas,419.4,583.9,526.3,618.0,120.0,120.0,120.0,120.0,120.0,600.0
210059527731,2,Masculino,1,Parda,Brasileiro(a),3,0,Não Respondeu,É treineiro,Jaciara,MT,G,D,E,A,2,C,B,B,B,B,B,B,A,B,A,A,B,A,C,A,A,A,C,B,B,Inglês,Sem problemas,576.4,633.3,568.3,644.2,140.0,140.0,120.0,140.0,140.0,680.0
210060214083,4,Masculino,1,Preta,Brasileiro(a),4,1,Não Respondeu,Não é treineiro,Belo Horizonte,MG,E,E,D,D,2,D,A,C,E,A,A,B,A,B,A,A,B,A,C,A,A,B,C,C,B,Inglês,Sem problemas,511.0,612.2,547.9,551.2,120.0,160.0,120.0,120.0,0.0,520.0
210058061536,4,Feminino,1,Parda,Brasileiro(a),4,1,Não Respondeu,Não é treineiro,Marituba,PA,E,E,C,B,4,B,A,B,C,A,B,B,A,A,A,A,A,A,C,A,A,A,D,A,B,Inglês,Sem problemas,592.9,624.0,676.4,731.8,160.0,200.0,180.0,140.0,200.0,880.0
210061103943,4,Feminino,3,Parda,Brasileiro(a),4,1,Não Respondeu,Não é treineiro,Serra,ES,F,G,B,D,3,E,A,B,C,A,A,B,B,B,A,A,A,B,B,A,B,A,D,B,B,Inglês,Sem problemas,474.0,561.0,520.3,596.8,180.0,200.0,160.0,200.0,200.0,940.0
210059980946,4,Feminino,1,Branca,Brasileiro(a),4,2,Não Respondeu,Não é treineiro,Belém,PA,E,G,B,D,5,K,A,B,C,B,A,B,A,A,A,A,A,A,B,A,A,A,D,A,B,Inglês,Sem problemas,632.0,688.4,635.8,709.6,160.0,200.0,180.0,200.0,200.0,940.0
210059855121,3,Masculino,1,Branca,Brasileiro(a),2,0,Pública,Não é treineiro,São Paulo,SP,C,C,C,B,2,D,A,B,B,A,A,B,A,B,A,A,A,A,B,A,A,A,B,A,B,Inglês,Sem problemas,523.8,576.3,596.5,628.1,120.0,140.0,100.0,120.0,120.0,600.0
210059527734,3,Masculino,1,Branca,Brasileiro(a),4,1,Não Respondeu,Não é treineiro,Nilópolis,RJ,E,E,B,B,3,B,A,B,C,A,A,B,B,B,A,A,A,A,C,A,A,A,D,A,B,Espanhol,Sem problemas,508.0,638.5,585.0,646.5,80.0,160.0,120.0,80.0,120.0,560.0
