NU_INSCRICAO,tipo_faixa_etaria,tipo_sexo,tipo_estado_civil,tipo_cor_raca,tipo_nacionalidade,tipo_conclusao,ano_de_concusao,tipo_escola,tipo_treineiro,regiao,uf_prova,municipio_prova,q01_escolaridade_pai,q02_escolaridade_mae,q03_ocupacao_pai,q04_ocupacao_mae,q05_pessoas_residencia,q06_renda_familiar,renda_per_capita,faixa_renda_per_capita,q07_empregado_domestico,q08_tem_banheiro,q09_qtd_quartos,q10_tem_carro,q11_tem_motocicleta,q12_tem_geladeira,q13_tem_freezer,q14_tem_maquina_lavar_roupa,q15_tem_maquina_secar_roupa,q17_tem_maquina_lavar_louca,q16_tem_microondas,q18_tem_aspirador_po,q19_tem_tv_cores,q20_tem_dvd,q21_tem_tv_assinatura,q23_tem_telefone_fixo,q22_tem_celular,q24_tem_computador,q25_tem_internet,indice_tecnologico,indice_eletrodomesticos,indice_transporte,indice_estrutura_casa,indice_escolaridade_pais,indice_max_escolaridade_pais,lingua_estrangeira,status_redacao,nota_cn,nota_ch,nota_lc,nota_mt,nota_red_comp1,nota_red_comp2,nota_red_comp3,nota_red_comp4,nota_red_comp5,nota_redacao,nota_media_geral
210061103945,6,Feminino,1,Branca,Brasileiro(a),4,0,Não Respondeu,Não é treineiro,Sul,RS,Caxias do Sul,,4.0,C,F,5,2,330.0,1,0,1,3,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,2,3,1,4,4.0,4.0,Espanhol,Sem problemas,502.0,498.9,475.6,363.2,140.0,200.0,100.0,120.0,140.0,700.0,459.9
210060214087,2,Feminino,1,Parda,Brasileiro(a),2,0,Pública,Não é treineiro,Nordeste,CE,Fortaleza,3.0,3.0,B,B,5,2,330.0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,1,5,1,0,2,6.0,3.0,Inglês,Sem problemas,459.0,508.5,507.2,466.7,140.0,200.0,160.0,180.0,200.0,880.0,485.4
210059980948,3,Feminino,1,Parda,Brasileiro(a),2,0,Pública,Não é treineiro,Nordeste,CE,Quixadá,1.0,1.0,A,A,4,1,165.0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,1,2.0,1.0,Inglês,Sem problemas,402.5,379.2,446.9,338.3,120.0,120.0,120.0,120.0,80.0,560.0,391.7
210060801601,11,Masculino,1,Branca,Brasileiro(a),4,8,Não Respondeu,Não é treineiro,Sudeste,SP,Batatais,,4.0,F,D,2,5,1815.0,5,0,1,2,1,1,1,1,1,0,0,1,1,2,1,0,0,2,1,1,7,5,2,3,4.0,4.0,Inglês,Sem problemas,564.7,630.3,610.4,680.2,120.0,120.0,120.0,120.0,120.0,600.0,621.4
210059085130,8,Masculino,1,Parda,Brasileiro(a),4,5,Não Respondeu,Não é treineiro,Nordeste,RN,Natal,5.0,2.0,D,B,4,1,165.0,1,0,2,2,0,0,1,0,1,0,0,1,1,1,0,0,0,4,1,1,7,4,0,4,7.0,5.0,Inglês,Sem problemas,644.9,620.2,626.9,736.3,140.0,200.0,160.0,160.0,200.0,860.0,657.1
210060801595,3,Masculino,1,Parda,"Brasileiro(a) Nato(a), nascido(a) no exterior",2,0,Pública,Não é treineiro,Sul,PR,Ubiratã,3.0,4.0,A,B,5,3,462.0,2,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,4,2,1,2,7.0,4.0,Inglês,Sem problemas,608.2,667.6,607.9,691.9,140.0,180.0,120.0,160.0,180.0,780.0,643.9
210060214081,3,Feminino,1,Branca,Brasileiro(a),4,1,Não Respondeu,Não é treineiro,Sudeste,SP,São Paulo,4.0,4.0,B,B,3,2,550.0,2,0,1,2,1,0,1,1,1,0,0,1,0,1,0,0,0,2,1,1,5,4,1,3,8.0,4.0,Inglês,Sem problemas,626.5,604.9,614.3,548.8,140.0,200.0,160.0,180.0,120.0,800.0,598.6
210059388087,11,Feminino,1,Preta,Brasileiro(a),4,7,Não Respondeu,Não é treineiro,Nordeste,PE,Recife,,0.0,F,A,3,1,220.0,1,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,1,4,1,0,3,0.0,0.0,Espanhol,Sem problemas,547.2,623.3,593.7,404.6,120.0,120.0,100.0,100.0,120.0,560.0,542.2
210059980942,7,Feminino,1,Parda,Brasileiro(a),4,4,Não Respondeu,Não é treineiro,Nordeste,RN,Caraúbas,1.0,1.0,A,A,5,0,0.0,1,0,1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,3,1,1,6,1,2,3,2.0,1.0,Espanhol,Sem problemas,510.8,313.4,388.5,415.6,120.0,120.0,100.0,120.0,100.0,560.0,407.1
210058061534,4,Feminino,1,Branca,Brasileiro(a),2,0,Pública,Não é treineiro,Norte,PA,Belém,4.0,4.0,C,B,4,1,165.0,1,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,1,3,0,1,6,1,0,3,8.0,4.0,Inglês,Sem problemas,515.7,553.1,544.4,437.0,160.0,180.0,160.0,180.0,200.0,880.0,512.6
